,mo_class,count_elem,index_process
782,INVUNIT_R,938,0
783,VoipDefaultPayloadType,24,0
784,TargetParams,24,0
785,TimeContRouDayClassList,10,0
786,TRIG,127,0
787,TGTTHRESHPR,11542,0
788,SystemDisk,24,0
789,SipGroupProfile,5,0
790,VLAN,8041,0
791,Syslog,24,0
792,RNFC,78,0
793,PM_Period,3085,0
794,PrCallTimeLimits,5,0
795,RA,973,0
796,PAPG,17,0
797,OVLSYSTEM,8,0
798,Mgw,72,0
799,OutgoingCallRouting,23,0
800,MPLANENW_R,14213,0
801,MGW,44,0
802,HCLSERVICES,114,0
803,DefaultMapParameters,5,0
804,HprChargingAttributes,5,0
805,ASIANTL,12,0
806,APMOD,134,0
807,HOPL,1237,0
808,IBVP8BWTBL,18,0
809,CAREL,339991,0
810,LNADJ,496428,0
811,CommonPcscfProfileTableRecord,6,0
812,EACC,4,0
813,ADJL,437200,0
814,ECCS,1344376,0
815,SnmpInfo,3,0
816,VoicePortDefaultAmrWb,24,0
817,TWAMPSTATREQ,2958,0
818,SDLACCESS,21,0
819,SERVICEEXEC,2,0
820,NIntfEntry,258,0
821,O2AREA,204,0
822,SCCDPC,168,0
823,M3uaAssociation,96,0
824,PNAPTRRegionTable,6,0
825,MSRNNR,103,0
826,NudConfig,24,0
827,MtpLev2ErrRatMonPar,25,0
828,AlarmConfig,24,0
829,CBS,4,0
830,ETHIF,45759,0
831,IMSNFM,8,0
832,GGSN,1,0
833,DestinationComponent,3928,0
834,ENDCDMEASCONF,118,0
835,H248ComponentParams,12,0
836,CTR,5,0
837,FephAggPacketPolicyTable,6,0
838,CapacityProfileConfig,48,0
839,VPTT,1469,0
840,TcpConnections,6,0
841,VoipDefaultAmr2,24,0
842,VLANIF,63564,0
843,SucceUserPlaneDestiSuban,5,0
844,SYNCE_R,1,0
845,SIPiaPortStatus,120,0
846,SMSADA,1,0
847,SDEST,71012,0
848,SLHSERVNPRIO,9,0
849,PORTS,44,0
850,M3UASLK,158,0
851,WBTS,17332,0
852,MODULE,58564,0
853,LA,2499,0
854,IPBR,20166,0
855,IpTfclass,24,0
856,CdrStreamGroup,5,0
857,ALWDGSCFTBL,127,0
858,IMSServHostSuffixInfo,120,0
859,AclSlotEntry,60,0
860,DNS,1263,0
861,FEPHENABLEDENTRY,120,0
862,IBFD,27240,0
863,CESIF,10602,0
864,MTRACE,139517,0
865,DU,60,0
866,HprMscServerParam,5,0
867,IBTIMER,1,0
868,CdrFieldSipReg,55,0
869,DFEDPortTable,6,0
870,ATM,44,0
871,BTSSCL,13,0
872,CdrFieldIn4,55,0
873,CUSTTICTABLE,5,0
874,Timers,4,0
875,SignalingTrace,1,0
876,SctpParameters,10,0
877,SFPREQ,3,0
878,SPMU,3669,0
879,S8hrEmergencyIdentifierList,5,0
880,RFRES,427,0
881,SAOFFLINE,2,0
882,PROCESSOR,8,0
883,PackageSelection,48,0
884,SECPRM,9392,0
885,NECERT,5,0
886,NRDRB_MAC,202,0
887,LicensePortLimitInfo,3,0
888,MgwStateTimers,84,0
889,MgwProfile,84,0
890,IP,100,0
891,Ccf,13,0
892,IUCSIP,37,0
893,InTrigger,83,0
894,IMSServComponentParams,120,0
895,IBPDFCONFIG,2,0
896,CdrFieldStm,170,0
897,CapacityProfile,24,0
898,SDRX,68459,0
899,APTOPP,115,0
900,DetailedLogLevelElement,1,0
901,IMSACRChargingProfileTable,6,0
902,ETHPRT,4778,0
903,CFEDPortTable,6,0
904,ERXA,2126,0
905,ETHMIRROR,4,0
906,SuccedBncANARES,10,0
907,SignallingRouteSet,35,0
908,SignallingLinkM3uaLinks,10,0
909,SDM,5,0
910,SctpProfileTableRecord,10,0
911,RoutingProtocol,113,0
912,OBGW,1,0
913,OrigAASubAna,21,0
914,NRHOIF,14,0
915,LMUA,1,0
916,MGWDP,44,0
917,NetwAndNetwElemSpecNumb,5,0
918,LinuxIpv4IcmpIntFloodThreshold,24,0
919,LCR,5,0
920,DiameterProfileTableRecord,18,0
921,FSTSCH,13021,0
922,ACL,4034,0
923,CLOCK_R,18960,0
924,GNSSE,220,0
925,DtdTableRecord,32,0
926,FTPPUSH,15,0
927,CPUBLADE,8,0
928,INR,171,0
929,AudioCodecRecord,120,0
930,IMSExFloatingIPAddrAssigLst,240,0
