,mo_class,count_elem,index_process
1823,AOIPNR,1,0
1824,DISCOVERY,132,0
1825,TimeControlledRoutingGroupList,5,0
1826,UFFIM,68366,0
1827,SupplementaryServiceHandling,5,0
1828,SshServer,42,0
1829,SubscriberAndEquipmentRec,22,0
1830,SignallingRouteSetData,15,0
1831,RoamCallRelaCdrGenePara,5,0
1832,RFREQ,115,0
1833,PEER,2,0
1834,OMGW,20,0
1835,PCC,25,0
1836,NeIntegrationData,2,0
1837,NRDRB_5QI,505,0
1838,MPUCCH,4,0
1839,NRPMRNL,123,0
1840,McmCoac,24,0
1841,CPIRecord,1158,0
1842,COCO,290,0
1843,HSVWHITELST,672,0
1844,IPDYNROUT,257,0
1845,CommissionedShelfEntry,66,0
1846,AFW,19,0
1847,IDSP,147,0
1848,HeartbeatAlarmParameters,5,0
1849,DSCPProfileTableRecord,6,0
1850,CFEDSrvPlInfo,6,0
1851,HttpServWebui,5,0
1852,CalledParty,320,0
1853,HOPS,3010,0
1854,GMLCTABLE,4,0
1855,DIPBRS,17,0
1856,CAPR,138597,0
1857,BTSM,57021,0
1858,LNBTS,11847,0
